GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
85,0.032,0.2,0.53,56.3,0.433655055153472,2.82547,2,2,2,2,2,1,1,1,1,0.962929475587703,0,0.0370705244122966,2.51019,2.51019,2.51019,2.51019,2.81139,2.81139,2.81139,2.81139
86,0.0384,0.22,0.66,56.3,0.395387689223383,3.34125,1,3,3,3,3,3,3,3,3,0,1,0,2.76879,2.76879,2.76879,2.76879,2.76879,2.76879,2.76879,2.76879
88,0.096,0.35,0.54,71.6,0.451731103249497,2.73026,3,2,2,2,3,2,3,3,3,0.686197523406826,0.313802476593174,0,2.51019,2.51019,2.51019,2.30155,2.51019,2.30155,2.30155,3.12639
89,0.1024,0.36,0.35,140.2,0.452634804467745,2.86769,6,3,2,2,3,3,3,3,3,0.658192344342761,0.341807655657239,0,3.13937,2.51019,2.51019,2.97216,2.9502,2.97216,2.97216,2.67742
91,0.2624,0.58,0.57,71.6,0.448430410751213,2.81139,6,2,1,3,2,3,3,3,3,0.714750110106751,0.281894255573499,0.00335563431975001,2.51019,2.82547,3.11648,2.51019,3.11648,3.12639,3.18055,2.37982
93,0.3712,0.69,0.31,71.6,0.468665393257602,2.85554,2,2,2,2,2,2,2,2,2,1,0,0,2.68525,2.68525,2.97547,2.68525,2.97547,2.68525,2.68525,2.97547
96,0.3392,0.66,0.3,23.2,0.475518956697678,2.7014,3,2,2,2,2,2,2,3,2,0.985033192516596,0.0149668074834037,0,2.71301,2.68525,2.68525,2.71301,2.68525,2.71301,2.95708,2.68525
107,0.6592,0.92,0.46,110.6,0.458066705445755,2.87897,4,3,2,2,2,2,2,2,2,0.947468724064796,0.0525312759352043,0,2.56109,2.68525,2.68525,2.46573,2.68525,2.46573,2.46573,2.4031
110,0.032,0.2,0.36,63.4,0.453005289043981,2.97795,1,2,2,2,2,2,2,2,2,1,0,0,2.39854,2.39854,2.39854,2.39854,2.39854,2.39854,2.39854,2.39854
117,0.0512,0.26,0.62,135,0.456697810951715,2.79582,2,3,3,3,3,3,3,3,3,0,1,0,3.12177,3.12177,2.97216,3.12177,2.97216,3.12177,2.97216,2.97216
119,0.7936,1.01,0.51,112.4,0.458973369649078,3.07411,4,2,2,2,2,2,3,3,2,0.984900605802308,0.0150993941976925,0,2.39854,2.39854,2.46573,2.39854,2.46573,2.41394,2.41394,2.46573
