GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
161,0.0768,0.31,0.46,116.6,0.485468454787808,2.42069,2,2,2,2,2,2,3,3,3,0.882432984079467,0.117567015920533,0,2.93783,2.93783,2.93783,2.93783,2.93783,3.07461,3.07461,3.07461
166,0.2432,0.56,0.45,41.2,0.488025660895137,2.47412,2,2,2,2,2,2,3,3,3,0.882432984079467,0.117567015920533,0,2.93783,2.93783,2.93783,2.93783,2.93783,3.07461,3.07461,3.07461
172,0.0512,0.26,0.44,126.9,0.470767769485476,2.52832,3,2,2,2,2,2,2,2,2,0.985485733135412,0.0145142668645885,0,2.41003,2.79242,2.79242,2.41003,2.79242,2.41003,2.79242,2.79242
174,0.0576,0.27,0.53,101.3,0.485272816680057,2.36758,3,3,3,2,3,2,3,3,2,0.857792886337482,0.142207113662518,0,2.17927,2.17927,2.93783,2.06719,2.93783,2.06719,2.06719,2.93783
182,0.352,0.67,0.49,13,0.472406002809416,2.52675,1,2,2,2,2,2,2,2,2,1,0,0,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003
186,0.4864,0.79,0.38,76,0.444016795300857,3.44971,3,2,3,3,2,3,2,2,2,0.983805668016194,0.0161943319838057,0,2.60459,2.78409,2.78409,2.60459,2.78409,2.60459,2.74927,2.74927
190,0.1088,0.37,0.26,49.4,0.475801312368292,2.49522,1,2,2,2,2,2,2,2,2,1,0,0,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003,2.41003
195,0.0448,0.24,0.47,68.2,0.46346659839455,3.56471,3,2,3,3,2,3,2,2,3,0.888358428204187,0.111641571795813,0,2.71391,2.98149,2.98149,2.71391,2.98149,2.71391,2.71391,2.11487
197,0.0896,0.34,0.44,128.7,0.454301811407658,3.61306,3,2,2,2,2,2,2,2,2,1,0,0,2.79242,2.79242,2.79242,2.82911,2.71391,2.82911,2.71391,2.71391
206,0.4288,0.74,0.66,26.6,0.465633985511061,2.57174,3,2,2,3,2,2,2,2,2,0.982969043904288,0.0170309560957116,0,2.79242,2.79242,2.92682,2.79242,2.91935,2.79242,2.91935,2.91935
207,0.256,0.57,0.47,78.7,0.442911116550156,3.44514,2,2,2,2,3,2,3,3,2,0.898305084745763,0.101694915254237,0,2.60459,2.60459,2.60459,2.98634,2.60459,2.98634,2.98634,2.60459
209,0.0448,0.24,0.49,63.4,0.451859285608116,3.63584,1,2,2,2,2,2,2,2,2,1,0,0,2.71391,2.71391,2.71391,2.71391,2.71391,2.71391,2.71391,2.71391
211,0.1344,0.41,0.21,100.3,0.45211671308285,3.43022,3,2,2,3,2,3,2,3,3,0.727548031574244,0.272451968425756,0,2.07432,2.07432,3.04531,2.07432,2.98634,2.07432,2.98634,2.98634
