GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
226,0.0512,0.26,0.47,126.9,0.47747807765857,2.72531,3,3,3,3,2,2,2,2,2,0.909589813187384,0.0904101868126163,0,2.45865,2.45865,2.45865,2.36072,2.36072,2.36072,2.36072,2.36072
230,0.0768,0.31,0.41,51.3,0.388460941920546,2.6999,3,3,3,3,3,2,2,2,2,0.627073798627002,0.372926201372998,0,2.86353,2.86353,2.86353,2.86353,2.56069,2.591,2.56069,2.56069
231,0.1856,0.49,0.42,130.6,0.475085759562651,2.925,2,2,2,2,2,2,2,2,2,0.996609291483199,0.00339070851680049,0,2.36795,2.36795,2.36795,2.36795,2.36795,2.36795,2.36795,2.36795
232,0.064,0.29,0.55,126.9,0.36982232998101,2.82782,3,2,2,2,2,2,2,2,2,1,0,0,2.59288,2.59288,2.89304,2.56069,2.89304,2.56069,2.56069,2.89304
233,0.2432,0.56,0.31,128.7,0.355211345413697,3.25014,3,3,2,2,3,2,3,2,2,0.984334119837563,0.0156658801624372,0,3.17295,2.36072,2.36072,3.17295,2.36072,3.17295,2.36072,2.36072
234,0.1536,0.44,0.32,138.8,0.350326580595178,3.30982,3,1,1,3,2,3,2,2,2,0.963547804226569,0.0160892450310315,0.0203629507423992,2.82315,2.82315,2.30201,2.36072,2.30201,2.36072,2.36072,2.36072
235,0.0832,0.33,0.31,113.2,0.379138396201513,2.76022,2,2,2,2,2,2,2,2,2,1,0,0,2.97011,2.97011,2.97011,2.70147,2.97011,2.70147,2.70147,2.70147
246,0.1088,0.37,0.36,119.7,0.361341790880729,3.34928,4,3,3,3,3,2,3,2,2,0.824152489445152,0.175847510554848,0,2.61709,2.61709,2.61709,2.8838,2.44821,2.8838,2.44821,2.44821
247,0.8064,1.01,0.46,108.4,0.386170641772404,2.75874,5,2,2,2,2,3,2,2,2,0.94833038057007,0.0516696194299298,0,2.44821,2.3522,2.591,2.44821,3.12247,2.70919,2.70919,2.70919
250,0.6144,0.88,0.54,36.9,0.376673251697009,2.74047,5,2,2,2,2,2,2,2,2,0.970416350249282,0.0295836497507181,0,2.70147,2.70147,2.97011,2.62397,2.97011,2.62397,2.62397,2.28343
251,0.0512,0.26,0.4,53.1,0.379812967169432,2.77307,2,3,3,3,3,3,3,3,3,0,1,0,3.12247,3.12247,2.54075,3.12247,2.54075,3.12247,3.12247,2.54075
253,0.3136,0.63,0.21,110.6,0.381354732242636,2.82056,3,3,3,2,2,2,2,2,2,0.978738046083387,0.0212619539166133,0,2.86569,2.86569,2.44821,3.14992,2.44821,3.14992,3.14992,2.44821
256,0.0896,0.34,0.55,74.1,0.356590522712921,3.22814,4,3,3,2,2,2,2,2,2,0.993394353577766,0.00660564642223432,0,3.17295,3.17295,2.36795,3.18116,2.36072,3.18116,2.36072,2.36072
260,0.128,0.4,0.49,66.8,0.378890528814083,2.813,2,2,3,3,2,3,2,2,2,0.906735751295337,0.0932642487046632,0,2.70919,3.12247,3.12247,2.70919,3.12247,2.70919,2.70919,2.70919
